word;relative_frequency;corpus_commonality
burn;7.5000;4
durin;1.0000;1
nothin;10.0000;1
goin;25.0000;1
jumpy;6.0000;2
hoppy;3.0000;1
vest;1.3333;3
button;27.7500;4
pendant;1.0000;1
out_of;58.6667;3
doggy;30.2500;4
eggie;5.5000;2
scratch;11.5000;2
Buzz;6.0000;2
Lightyear;3.0000;1
learn;3.3333;3
knit;1.0000;2
Cinders;1.0000;1
Jill;4.3333;3
Lisa;5.3333;3
hm;15.5000;2
sill;1.0000;1
shell;5.0000;3
worm;33.0000;2
feather;2.7500;4
beach;23.0000;2
sailin;1.0000;1
smilin;1.0000;1
itchy;5.0000;2
bruise;9.0000;2
fourteen;10.0000;3
themselves;14.0000;2
cloth;7.5000;2
sweet;21.0000;4
tap;13.6667;3
wing;7.7500;4
click;21.5000;2
dr;1.0000;1
splash;28.0000;3
everywhere;10.0000;2
Jungle;8.5000;2
Jims;1.0000;1
pop;29.7500;4
share;8.6667;3
tin;37.6667;3
bump;126.6667;3
Rosie;18.5000;2
along;29.0000;3
Rag;1.0000;3
sail;2.0000;3
Jack;7.7500;4
noggin;2.0000;1
onto;8.3333;3
barge;1.0000;1
Jordan;1.5000;2
nip;2.5000;2
floppy;2.5000;2
flop;7.0000;2
burny;2.5000;2
pram;35.0000;3
Woody;9.5000;2
belly;5.0000;3
low;2.0000;2
tootsie;1.0000;1
snap;44.0000;3
hiya;54.5000;2
warm;28.7500;4
busy;16.6667;3
dough;4.3333;3
monkey;107.7500;4
Duke;9.6667;3
picnic;23.3333;3
fluffy;10.0000;3
squawk;2.0000;1
Jurassic;15.0000;1
cartoon;2.5000;2
Tyranno;3.0000;1
church;17.5000;2
workbook;1.0000;1
Conor;5.0000;1
till;6.0000;3
King;20.0000;3
hyena;5.0000;1
zebra;7.3333;3
Simba;1.5000;2
Power;30.5000;2
Ranger;14.5000;2
Robocops;3.0000;1
fight;14.0000;4
gun;19.5000;2
machine;7.0000;3
somethin;8.0000;1
shootin;1.0000;1
woof;22.0000;3
spread;1.0000;1
washin;1.0000;1
nanananana;1.0000;1
woosh;2.0000;1
Fatty;2.0000;2
squ;1.0000;1
cre;2.0000;1
creepy;6.0000;2
crawlies;4.0000;1
lizard;6.5000;2
cr;2.0000;1
crawly;4.0000;1
cra;1.0000;1
dead;22.0000;3
Batman;13.0000;3
until;21.0000;3
Silver;5.5000;2
Duplo;39.5000;2
frostie;4.0000;1
fr;2.0000;1
size;5.6667;3
might;31.7500;4
oo;14.2500;4
w;24.0000;3
body;7.7500;4
scale;3.0000;2
shooter;2.0000;1
track;127.5000;2
bridge;200.2500;4
scar;12.7500;4
raptor;20.0000;1
frosties;2.0000;1
ste;1.0000;1
stegosaurus;5.0000;1
giraffe;61.5000;4
tiger;168.0000;3
piggy;30.5000;4
gorilla;6.3333;3
snakie;1.0000;1
taxi;5.0000;3
neenaw;5.5000;2
engine;46.0000;4
tracker;3.0000;1
study;1.0000;2
worry;7.3333;3
anyone;3.3333;3
Robocop;10.0000;1
yeehah;2.0000;2
load;11.3333;3
plane;34.5000;4
scoop;10.0000;2
fireman;26.5000;2
Daffy;1.0000;1
Pingew;1.0000;1
gra;1.0000;1
grape;76.7500;4
wi;5.0000;1
reload;2.0000;1
seed;6.0000;2
weed;9.5000;2
yeh;31.0000;1
d;41.3333;3
lorry;78.6667;3
indeed;1.0000;2
fancy;2.0000;3
skateboard;3.0000;1
mike;2.5000;2
moose;1.5000;2
Devil;1.0000;1
lots_of;29.5000;4
tunnel;96.7500;4
soldier;16.3333;3
chug;3.3333;3
choo;321.3333;3
Dazzle;2.0000;1
roar;15.5000;2
Chootie;2.0000;1
Stacie;8.0000;1
June;3.0000;2
nuh;11.0000;1
Chloe;2.0000;2
Bill;6.0000;2
seek;6.5000;2
borrow;10.0000;2
Tyrannosaurus;2.0000;1
Rex;3.0000;2
Tyrannosaur;1.0000;1
stinky;3.5000;2
winky;3.0000;1
has_to;20.0000;2
giant;10.5000;2
vacuum;2.0000;2
agh;13.0000;1
explosive;4.0000;1
robot;7.0000;2
Craiglands;1.0000;1
nursery;16.2500;4
Matthew;1.0000;2
Playbus;2.0000;2
snowy;2.5000;2
jig;1.0000;2
zoo;19.7500;4
Thomas;253.5000;4
television;7.6667;3
wonder;8.5000;2
kiss;28.2500;4
tn;2.0000;1
a_lot_of;12.0000;3
across;2.2500;4
chat;2.5000;2
wah;10.5000;2
near;9.0000;4
s;28.2500;4
horn;14.0000;2
Sebastian;4.0000;1
handstand;2.0000;2
Kitkat;3.0000;1
mhm;2000.0000;2
Missus;2.0000;1
Indian;1.5000;2
Bacchiosaurus;2.0000;1
none;11.3333;3
Diplocus;1.0000;1
y;9.6667;3
bar;7.5000;2
reason;1.0000;1
Smarties;8.3333;3
Christophers;2.0000;1
lemme;1.0000;1
haha;11.5000;2
l;9.6667;3
whooo;2.0000;1
aye;21.0000;2
Triceratops;3.0000;1
hor;1.5000;2
stroke;8.3333;3
tongue;3.2500;4
j;4.3333;3
measure;16.0000;2
pussycat;8.5000;2
joker;2.0000;1
xylophone;2.5000;2
walrus;3.5000;2
yup;160.0000;1
Brontosaurus;1.0000;1
prehistoric;1.0000;1
rac;1.0000;1
muffin;1.0000;2
forty;4.6667;3
Mars;1.0000;1
Kathryn;14.0000;1
nod;3.5000;2
tyrrano;1.0000;1
Teradactyls;1.0000;1
P;15.3333;3
tr;6.0000;1
tri;1.0000;1
each_other;2.5000;2
Peter;32.6667;3
Kinder;1.5000;2
next_to;19.7500;4
Jumanji;3.0000;1
scary;9.6667;3
sweety;1.0000;1
drum;14.5000;2
Sabretoothed;1.0000;1
desert;1.0000;1
scrap;3.5000;2
grass;51.2500;4
trap;6.6667;3
sc;2.0000;1
spiky;1.0000;1
st;2.5000;2
pl;2.0000;1
Plodicus;3.0000;1
Xman;1.0000;1
Burger;22.0000;3
crocodile;12.5000;4
alligator;3.5000;2
you_all;5.0000;2
rat;9.0000;2
pincher;1.0000;1
Mc;1.0000;1
Donalds;1.0000;1
Sunday;3.5000;4
pizza;21.6667;3
badder;1.0000;1
