word;list;POS;type
here;I;NN;OpenClass
here;I;JJ;OpenClass
here;I;RB;OpenClass
for;I;IN;ClosedClass
look;I;NN;OpenClass
look;I;VB;OpenClass
hey;I;NN;OpenClass
let;I;NN;OpenClass
let;I;VB;OpenClass
she;I;PRP;ClosedClass
good;I;NN;OpenClass
good;I;JJ;OpenClass
good;I;RB;OpenClass
come;I;NN;OpenClass
come;I;VB;OpenClass
want;I;NN;OpenClass
want;I;VB;OpenClass
your;I;PRP$;ClosedClass
but;I;CC;ClosedClass
because;I;IN;ClosedClass
see;I;NN;OpenClass
see;I;VB;OpenClass
at;I;IN;ClosedClass
make;I;NN;OpenClass
make;I;VB;OpenClass
how;I;WRB;ClosedClass
wait;I;NN;OpenClass
wait;I;VB;OpenClass
then;I;NN;OpenClass
then;I;JJ;OpenClass
then;I;RB;OpenClass
think;I;NN;OpenClass
think;I;VB;OpenClass
with;I;IN;ClosedClass
right;I;NN;OpenClass
right;I;VB;OpenClass
right;I;JJ;OpenClass
right;I;RB;OpenClass
if;I;IN;ClosedClass
up;I;VB;OpenClass
up;I;JJ;OpenClass
up;I;RB;OpenClass
now;I;NN;OpenClass
now;I;RB;OpenClass
all;I;DT;ClosedClass
two;I;CD;ClosedClass
put;I;NN;OpenClass
put;I;VB;OpenClass
us;I;PRP;ClosedClass
alright;I;JJ;OpenClass
alright;I;RB;OpenClass
dude;I;NN;OpenClass
why;I;WRB;ClosedClass
people;I;NN;OpenClass
people;I;VB;OpenClass
out;I;IN;ClosedClass
where;I;WRB;ClosedClass
thing;I;NN;OpenClass
time;I;NN;OpenClass
time;I;VB;OpenClass
second;I;NN;OpenClass
second;I;VB;OpenClass
second;I;JJ;OpenClass
second;I;RB;OpenClass
record;I;NN;OpenClass
record;I;VB;OpenClass
them;I;PRP;ClosedClass
three;I;CD;ClosedClass
tell;I;NN;OpenClass
tell;I;VB;OpenClass
too;I;RB;OpenClass
talk;I;NN;OpenClass
talk;I;VB;OpenClass
take;I;NN;OpenClass
take;I;VB;OpenClass
minute;I;NN;OpenClass
minute;I;JJ;OpenClass
or;I;CC;ClosedClass
play;I;NN;OpenClass
play;I;VB;OpenClass
man;I;NN;OpenClass
man;I;VB;OpenClass
eat;I;VB;OpenClass
dang;I;NN;OpenClass
more;I;NN;OpenClass
more;I;JJ;OpenClass
more;I;RB;OpenClass
her;I;PRP$;ClosedClass
five;I;CD;ClosedClass
first;I;NN;OpenClass
first;I;JJ;OpenClass
first;I;RB;OpenClass
mine;I;NN;OpenClass
mine;I;VB;OpenClass
pas;I;NN;OpenClass
pass;I;VB;OpenClass
pass;I;JJ;OpenClass
word;I;NN;OpenClass
word;I;VB;OpenClass
god;I;NN;OpenClass
him;I;PRP;ClosedClass
these;I;DT;ClosedClass
well;I;NN;OpenClass
well;I;VB;OpenClass
well;I;JJ;OpenClass
well;I;RB;OpenClass
back;I;NN;OpenClass
back;I;VB;OpenClass
back;I;JJ;OpenClass
back;I;RB;OpenClass
our;I;PRP$;ClosedClass
shall;I;MD;ClosedClass
only;I;JJ;OpenClass
only;I;RB;OpenClass
some;I;DT;ClosedClass
hi;I;NN;OpenClass
bad;I;NN;OpenClass
bad;I;JJ;OpenClass
bad;I;RB;OpenClass
open;I;NN;OpenClass
open;I;VB;OpenClass
open;I;JJ;OpenClass
try;I;NN;OpenClass
try;I;VB;OpenClass
find;I;NN;OpenClass
find;I;VB;OpenClass
actually;I;RB;OpenClass
down;I;NN;OpenClass
down;I;VB;OpenClass
down;I;JJ;OpenClass
down;I;RB;OpenClass
wish;I;NN;OpenClass
wish;I;VB;OpenClass
use;I;NN;OpenClass
use;I;VB;OpenClass
sorry;I;JJ;OpenClass
thank;I;VB;OpenClass
night;I;NN;OpenClass
call;I;NN;OpenClass
call;I;VB;OpenClass
rhombus;I;NN;OpenClass
lunch;I;NN;OpenClass
lunch;I;VB;OpenClass
from;I;IN;ClosedClass
off;I;IN;ClosedClass
hello;I;NN;OpenClass
thirty;I;NN;OpenClass
thirty;I;JJ;OpenClass
eight;I;CD;ClosedClass
fish;I;NN;OpenClass
fish;I;VB;OpenClass
hell;I;NN;OpenClass
mom;I;NN;OpenClass
much;I;NN;OpenClass
much;I;JJ;OpenClass
much;I;RB;OpenClass
nine;I;CD;ClosedClass
ball;I;NN;OpenClass
ball;I;VB;OpenClass
polygon;I;NN;OpenClass
sign;I;NN;OpenClass
sign;I;VB;OpenClass
sign;I;JJ;OpenClass
girl;I;NN;OpenClass
shoot;I;NN;OpenClass
shoot;I;VB;OpenClass
hand;I;NN;OpenClass
hand;I;VB;OpenClass
book;I;NN;OpenClass
book;I;VB;OpenClass
day;I;NN;OpenClass
into;I;IN;ClosedClass
sit;I;VB;OpenClass
still;I;NN;OpenClass
still;I;VB;OpenClass
still;I;JJ;OpenClass
still;I;RB;OpenClass
read;I;NN;OpenClass
read;I;VB;OpenClass
triangle;I;NN;OpenClass
kind;I;NN;OpenClass
kind;I;JJ;OpenClass
Mr;I;NN;OpenClass
school;I;NN;OpenClass
school;I;VB;OpenClass
twenty;I;NN;OpenClass
twenty;I;JJ;OpenClass
awesome;I;JJ;OpenClass
those;I;DT;ClosedClass
voice;I;NN;OpenClass
voice;I;VB;OpenClass
other;I;JJ;OpenClass
name;I;NN;OpenClass
name;I;VB;OpenClass
sure;I;JJ;OpenClass
sure;I;RB;OpenClass
feel;I;NN;OpenClass
feel;I;VB;OpenClass
hard;I;JJ;OpenClass
hard;I;RB;OpenClass
run;I;NN;OpenClass
run;I;VB;OpenClass
ten;I;NN;OpenClass
ten;I;JJ;OpenClass
please;I;VB;OpenClass
please;I;RB;OpenClass
suck;I;NN;OpenClass
suck;I;VB;OpenClass
homie;I;NN;OpenClass
stick;I;NN;OpenClass
stick;I;VB;OpenClass
watch;I;NN;OpenClass
watch;I;VB;OpenClass
class;I;NN;OpenClass
class;I;VB;OpenClass
next;I;JJ;OpenClass
next;I;RB;OpenClass
stay;I;NN;OpenClass
stay;I;VB;OpenClass
twelve;I;NN;OpenClass
twelve;I;JJ;OpenClass
bro;I;NN;OpenClass
show;I;NN;OpenClass
show;I;VB;OpenClass
six;I;CD;ClosedClass
very;I;JJ;OpenClass
very;I;RB;OpenClass
way;I;NN;OpenClass
way;I;RB;OpenClass
probably;I;RB;OpenClass
crack;I;NN;OpenClass
crack;I;VB;OpenClass
crack;I;JJ;OpenClass
again;I;RB;OpenClass
move;I;NN;OpenClass
move;I;VB;OpenClass
start;I;NN;OpenClass
start;I;VB;OpenClass
walk;I;NN;OpenClass
walk;I;VB;OpenClass
pocket;I;NN;OpenClass
pocket;I;VB;OpenClass
already;I;RB;OpenClass
as;I;IN;ClosedClass
ask;I;VB;OpenClass
christmas;I;NN;OpenClass
funny;I;NN;OpenClass
funny;I;JJ;OpenClass
hold;I;NN;OpenClass
hold;I;VB;OpenClass
draw;I;NN;OpenClass
draw;I;VB;OpenClass
goal;I;NN;OpenClass
juice;I;NN;OpenClass
poo;I;NN;OpenClass
baby;I;NN;OpenClass
baby;I;VB;OpenClass
even;I;NN;OpenClass
even;I;VB;OpenClass
even;I;JJ;OpenClass
even;I;RB;OpenClass
never;I;RB;OpenClass
recorder;I;NN;OpenClass
wash;I;NN;OpenClass
wash;I;VB;OpenClass
win;I;NN;OpenClass
win;I;VB;OpenClass
bit;I;NN;OpenClass
bite;I;VB;OpenClass
today;I;NN;OpenClass
today;I;RB;OpenClass
lot;I;NN;OpenClass
lot;I;VB;OpenClass
forget;I;VB;OpenClass
keep;I;NN;OpenClass
keep;I;VB;OpenClass
kid;I;NN;OpenClass
kid;I;VB;OpenClass
may;I;MD;ClosedClass
hear;I;VB;OpenClass
help;I;NN;OpenClass
help;I;VB;OpenClass
animal;I;NN;OpenClass
animal;I;JJ;OpenClass
stuff;I;NN;OpenClass
stuff;I;VB;OpenClass
his;I;PRP$;ClosedClass
work;I;NN;OpenClass
work;I;VB;OpenClass
Ms;I;NN;OpenClass
year;I;NN;OpenClass
cappuccino;I;NN;OpenClass
friend;I;NN;OpenClass
care;I;NN;OpenClass
care;I;VB;OpenClass
fun;I;NN;OpenClass
food;I;NN;OpenClass
line;I;NN;OpenClass
line;I;VB;OpenClass
pretty;I;JJ;OpenClass
pretty;I;RB;OpenClass
cook;I;NN;OpenClass
cook;I;VB;OpenClass
excuse;I;NN;OpenClass
excuse;I;VB;OpenClass
home;I;NN;OpenClass
home;I;VB;OpenClass
home;I;JJ;OpenClass
home;I;RB;OpenClass
hot;I;JJ;OpenClass
lose;I;VB;OpenClass
new;I;JJ;OpenClass
new;I;RB;OpenClass
potato;I;NN;OpenClass
touch;I;NN;OpenClass
touch;I;VB;OpenClass
damn;I;NN;OpenClass
damn;I;VB;OpenClass
damn;I;JJ;OpenClass
damn;I;RB;OpenClass
dollar;I;NN;OpenClass
