word;relative_frequency;corpus_commonality
chip;262.5000;48
tuck;30.0000;27
real;58.2857;42
tomato;242.0000;45
yum;207.6750;40
sausage;186.6667;54
melon;46.0000;45
try;242.1429;42
alright;153.7500;48
elephant;340.8333;54
hey;171.8889;36
pickle;33.3333;27
bean;111.4688;32
pick;117.6190;42
tellie;80.0000;27
Thomas;1014.0000;45
tidy;75.8333;54
sorry;195.7143;42
morning;54.7500;48
pardon;25.0000;54
three;1027.2500;24
beepbeep;30.0000;27
hurt;216.7500;56
let;869.7500;24
land;28.0000;45
helicopter;108.3333;54
Mum;780.4082;49
whee;265.8333;54
pop;119.0000;45
monkey;400.8333;54
lie;205.0000;54
box;566.3125;48
tire;169.0500;40
chase;53.3333;54
gently;46.6667;27
quiet;61.0000;45
tasty;14.0000;45
err;48.3333;27
crisp;90.0000;54
fork;81.0000;45
horrid;15.0000;27
show;136.8000;30
garden;86.6667;54
wrong;126.7500;48
fence;168.7750;40
wall;136.0000;45
bench;10.0000;18
clipclop;10.0000;27
happen;126.0000;48
tunnel;387.0000;45
brilliant;11.6667;54
brumm;953.3333;27
panda;503.7500;36
squeaky;13.3333;27
squeaksqueak;5.0000;9
Caroline;1201.2500;36
pretend;130.8333;54
meat;49.5000;40
pinch;61.2500;36
hide;344.0000;48
five;376.0000;30
tickle;144.2292;48
fat;29.1667;54
bang;340.0000;63
muddle;5.0000;18
parrot;58.3333;27
snake;235.0000;36
tail;135.0000;54
horsie;282.5000;54
Carl;410.0000;27
Ryan;5.0000;18
nursery;58.3333;54
asleep;120.8333;54
dance;68.0000;45
frog;78.0000;42
settee;22.5000;54
set;49.0000;45
pajama;79.1667;54
breakfast;69.1250;48
bridge;670.8333;54
crash;594.1667;54
mieow;118.3333;27
wing;33.0000;45
atechoo;10.0000;18
pull;325.8333;54
quick;37.3750;48
hmm;228.3333;27
smarties;32.5000;36
pan;66.6667;54
spill;51.2500;36
yep;82.0625;48
catch;209.4444;36
throw;249.1667;36
Paddington;25.0000;18
cart;10.0000;27
stand;433.5833;48
ow;245.8333;54
coke;20.0000;54
shoulder;73.3333;27
quackquack;6.6667;27
why;1026.0000;28
Duplo;98.7500;36
shark;55.8333;54
space;40.0000;54
wow;44.2500;48
cob;35.0000;27
celery;28.3333;27
pineapple;57.5000;36
zoo;73.3333;54
shall;364.5000;40
brum;231.6667;27
steady;55.0000;27
say;362.1429;14
seaside;40.0000;36
town;29.0000;45
goodness;17.5000;18
sneeze;24.0000;45
Granddad;181.2500;36
further;8.3333;27
Kirsty;15.0000;18
Emily;10.0000;27
Gran;10.0000;9
page;141.0000;45
Momma;5.0000;18
snail;52.0000;45
cold;210.5714;42
snow;70.0000;54
splash;75.8333;54
sand;84.5714;42
sandwich;80.8333;54
shush;60.0000;36
blow;131.6667;54
weed;23.7500;36
poo;163.5000;48
bubble;50.0000;54
present;94.0000;45
silly;165.8333;54
Mum_Mum;10.0000;18
closer;6.6667;27
Rachel;99.0000;45
close;146.9286;42
press;94.5000;48
lovely;66.6667;54
Da_bear;15.0000;9
music;48.3000;40
Ring_roses;20.0000;9
walk;174.4286;42
bit;112.9333;30
cheeky;28.3333;54
mannie;25.0000;9
seven;160.0000;42
nine;146.2500;48
ahem;5.0000;9
brick;600.0000;54
hold;259.2653;49
an;227.3333;36
bibbie;6.6667;27
hole;158.4375;48
penny;155.0000;45
tractor;302.5000;54
driver;260.0000;45
ss;28.7500;36
green;756.2500;36
dong;18.3333;27
wet;202.5000;54
ham;20.0000;45
Minny;10.0000;9
din;33.7500;36
dodo;27.5000;18
lip;16.0000;45
poster;7.5000;36
wheel;376.6667;54
er;256.2500;36
stone;48.7500;36
coat;94.5000;40
keep;130.0000;42
bow;52.5000;36
doll;235.3750;48
hoop;36.6667;27
cheek;13.3333;27
share;29.1667;54
Mary;57.5000;36
stack;11.0000;45
line;99.5714;42
six;239.2500;48
pound;98.0000;45
draw;468.7500;48
carpet;46.0000;45
peach;86.6667;27
van;136.6667;54
rat;22.5000;36
nut;96.0000;45
bee;64.0000;45
neigh;67.5000;36
dead;55.0000;54
kick;75.0000;42
sack;10.0000;9
pay;49.0000;45
bump;320.0000;54
greenie;5.0000;9
Toby;233.7500;36
knick;38.3333;27
wave;35.0000;36
choochoo;38.3333;27
whoo;78.0000;45
smoke;67.5000;54
coal;52.5000;36
ticket;30.0000;36
need;1176.8750;24
Worzel;10.0000;9
knock;246.6667;54
monster;138.3333;54
polish;10.0000;27
Ted;111.6667;27
Percy;768.3333;27
keeper;5.0000;18
string;21.2500;36
hen;103.3333;54
plate;200.0000;45
porridge;31.0000;45
hammer;149.1667;54
armband;28.7500;36
under;311.5000;48
jungle;17.0000;45
song;69.0000;48
peek;5.0000;9
Pingu;181.6667;54
Ian;15.0000;27
cross;109.1667;54
paint;247.0000;42
party;90.4792;48
birthday;129.1667;42
sad;77.7000;40
Bert;58.3333;27
phone;120.8333;54
aeroplane;99.1667;54
nana;326.0000;45
moon;58.0000;45
star;180.0000;36
grr;111.6667;27
Symber;40.0000;9
peep;208.0000;45
Thomas_Engine;5.0000;9
bounce;30.0000;36
bouncy;14.0000;45
gribbet;16.6667;27
Spot;121.0000;45
spout;15.0000;36
fee;45.8333;54
nee;270.0000;27
dig;47.7750;40
fast;164.2500;48
burny;6.2500;36
noisy;60.8333;54
shape;64.8000;40
Zita;150.0000;18
screwdriver;53.3333;27
fix;387.7917;48
tv;18.3750;48
tortoise;40.0000;45
ugh;43.3333;27
ooo;8.3333;27
clock;59.2500;48
Wayne;15.0000;9
Gordon;771.2500;36
Henry;408.7500;36
straw;27.5000;36
fox;27.5000;36
ambulance;92.0000;45
tap;34.1667;54
build;419.1667;54
side;94.4762;42
eh;45.7143;63
grrr;132.5000;36
croc;52.5000;18
rid;61.2500;36
fell;153.2143;56
tight;59.1667;54
circus;13.0000;45
castle;129.0000;45
poor;213.7500;36
pa;21.6667;27
bad;91.1429;42
handle;15.0000;36
everybody;58.3333;42
poorly;198.7500;36
Amy;29.0000;45
rainbow;68.7500;36
four;497.7778;36
eight;150.7500;48
ten;120.7500;48
lemon;148.7500;36
cheer;15.0000;36
only;180.1429;42
beep;300.0000;45
Charles;5.0000;9
bat;28.7500;36
jumper;48.0000;45
Thom;12.5000;18
ribbet;21.6667;27
froggie;41.6667;27
shin;7.5000;18
ouch;167.5000;36
already;40.0000;36
Tiggie;25.0000;9
Pooh;41.6667;27
Piglet;31.2500;36
Eeyore;11.6667;27
Kanga;10.0000;9
Roo;10.0000;9
Anna;1773.3333;24
oo;50.7143;63
squeak;66.2500;36
tennis;7.5000;18
air;34.0000;45
nanas;68.3333;27
kite;48.3333;54
Berthorse;15.0000;9
huh;763.4286;49
hungry;118.1250;48
thirsty;11.5500;40
thank;100.3810;42
smile;44.0000;45
rocket;37.5000;36
Fat_Controller;98.3333;27
Clara;20.0000;9
Th;50.0000;45
poop;31.2500;36
Pat;64.0000;45
Jess;48.7500;36
Goggins;12.5000;18
Edward;311.6667;27
woof;87.0000;45
its;37.5000;54
achoo;118.3333;27
digger;202.5000;54
sweet;74.1667;54
king;50.0000;54
white;336.3214;56
c;80.0000;54
Berton;5.0000;9
into;111.8333;36
Bertthe;5.0000;18
Jane;16.2500;36
cluck;20.0000;27
butterfly;63.3333;54
bumble;10.0000;36
Mickey_Mouse;15.0000;27
Granny;108.3333;54
sticky;112.5000;36
color;246.3542;48
engine;171.6667;54
Thomas_the_Tank;46.6667;27
track;255.0000;45
Thomas_Tank;30.0000;18
cockpit;5.0000;9
as_well;190.0000;54
number;151.5000;48
upset;20.0000;18
Tank;85.0000;45
fireman;66.2500;36
The_Tank;10.0000;9
Thomas_and_the_Tank;5.0000;9
booby;15.0000;18
out_of;127.8571;63
ladder;94.1667;54
mane;7.5000;18
Daddys;7.5000;18
stay;195.8333;30
Postman_Pat;206.6667;27
knickers;101.6667;27
ding;42.5000;36
knee;185.7143;63
sunshine;41.6667;27
through;204.1458;48
squirrel;47.0000;45
D;90.7143;63
snowman;75.0000;54
whistle;90.0000;36
neeow;5.0000;9
hard;126.6429;56
yours;192.8333;36
purple;162.0000;45
plant;16.6667;54
black;305.5000;42
Diesel;138.3333;27
puff;141.6667;27
Thomas_the_Tank_Engine;55.0000;18
Thomas_Tank_Engine;18.3333;27
same;108.9524;42
matter;63.0000;45
backwards;78.7500;36
station;201.0000;45
owl;27.5000;36
twit;10.0000;9
lollipop;51.6667;27
slow;42.5000;36
empty;110.0000;27
beak;12.5000;18
somewhere;47.8333;48
garage;143.5000;48
Paddington_Bear;7.5000;18
aerial;5.0000;9
person;73.3333;27
Dominic;143.3333;27
bake;31.0000;45
doughnut;29.0000;45
crane;131.2500;36
dish;18.3333;54
burger;68.0000;45
cheeseburger;8.3333;27
uhhuh;168.3333;54
large;15.0000;9
small;147.0000;48
chalk;75.0000;27
puzzle;58.3333;54
o;384.2857;63
v;8.3333;54
y;30.8333;54
r;35.0000;54
x;19.1667;54
brown;115.6250;48
dolphin;71.6667;54
block;53.3333;54
goat;136.0000;45
beef;23.3333;27
bun;58.7500;36
skittle;8.7500;36
papa;5.0000;9
h;46.6667;54
k;27.0000;45
l;27.5000;54
f;30.0000;45
s;99.1667;54
stage;7.5000;18
darling;28.3333;27
motorbike;48.7500;36
radio;14.1667;54
Frank;20.0000;27
lamb;100.0000;36
apart;21.6667;27
tanker;17.5000;36
instead;24.0000;45
glue;26.7143;42
fetch;36.6667;27
radish;15.0000;9
Andy;486.6667;27
milkman;35.0000;27
nothing;144.7500;48
rhino;31.6667;27
tiny;109.1667;54
rolly_pollies;8.3333;27
Gail;416.6667;27
Little_Miss_Magic;5.0000;9
trick;28.7500;36
Abra_ca_dabra_cottage;5.0000;9
sleeve;5.0000;36
Olwin;18.3333;27
candle;62.0000;45
thirty;36.0000;40
thirteen;34.8750;32
Kathy;23.3333;27
Lewis;5.0000;9
remember;64.2778;36
poke;23.3333;27
Pass_the_parcel;5.0000;9
popper;25.0000;18
dungaree;50.0000;27
blouse;15.0000;36
blob;6.6667;27
Chris;21.6667;27
rest;65.0000;54
Fudge;25.0000;27
horsies;14.1667;54
billy;37.0000;45
beard;23.3333;27
cock_a_doodle_doo;71.6667;27
farmer;72.0000;45
courgette;7.5000;18
burglar;26.6667;27
Josie;20.0000;9
mi;5.0000;9
Bethany;31.6667;27
Kirsten;31.6667;27
Grandpa_Pete;25.0000;18
Sid;10.0000;9
mama;1651.6667;27
Joan;12.5000;18
Gregory;10.0000;18
cricket;20.0000;9
ant;49.5417;24
tata;12.5000;18
Martin;26.6667;27
Joel;60.0000;27
goal;24.0000;24
controller;37.5000;36
oh_dear;18.3333;27
Tony;10.0000;18
Sophie;48.7500;36
pizza;68.3333;54
seal;46.2500;36
soggy;6.6667;27
battery;27.0000;45
caterpillar;85.0000;36
Meg;33.0000;45
la;108.3333;27
turtle;31.6042;48
dryer;5.0000;18
short;37.5000;54
Bethany_Bethany;5.0000;9
skip;23.3333;27
gravy;11.6667;27
bruise;22.5000;36
towel;55.0000;45
cooker;17.5000;36
touch;75.6000;40
than;16.6111;36
sticker;70.0000;45
peeky;10.0000;9
Row_row_boat;10.0000;9
row;261.6667;27
stream;30.0000;27
semolina;8.3333;27
soldier;49.0000;45
Michael;21.2500;36
jade;15.0000;27
Bryany;5.0000;18
feather;11.0000;45
shifter;5.0000;9
Tigger;28.3333;27
sledge;6.6667;27
Grandpa_Sid;5.0000;27
boogie;5.0000;9
Axel;10.0000;9
Emma;18.7500;36
nenaw;65.0000;27
neenaw;13.7500;36
bi;15.0000;9
dear_dear;5.0000;9
squash;84.0000;45
bo;5.0000;9
zip;25.0000;36
Andy_Cole;5.0000;18
Peter;81.6667;54
Schmeichel;5.0000;18
Peter_Schmeichel;10.0000;18
Schumacher;5.0000;9
Damon_Hill;5.0000;9
Gazza;5.0000;9
Alan;25.0000;36
Cantona;5.0000;27
Ella;35.0000;18
boob;10.0000;18
grubby;5.0000;9
m;56.6667;54
pow;5.0000;18
lighthouse;5.0000;9
Glennis;5.0000;18
suitcase;11.0000;45
Errol;5.0000;9
Sharon;8.3333;27
Grandma_Peggy;20.0000;27
pillow;34.0000;45
okey_dokey;7.5000;18
Row_row_row_the_boat;5.0000;9
neck;53.7500;36
chest;13.7500;36
Row_row_the_boat;5.0000;9
crayon;117.5000;36
tatty;12.5000;36
fridge;70.0000;45
twinkle;41.2500;36
starfish;67.5000;36
crab;30.0000;36
shut;135.3000;40
pot;52.0000;45
fiddly;25.0000;27
willie;36.6667;27
ing;5.0000;18
c_d;15.0000;27
c_ds;5.0000;9
Liz;543.3333;27
roller;31.0000;45
dumper;47.0000;45
sign;9.0000;56
farm;188.1250;48
Weetabix;10.0000;36
dipper;15.0000;18
bolt;18.3333;27
soil;15.0000;27
trunk;35.8333;54
swish;22.5000;18
fishies;21.2500;36
forklift;5.0000;18
apricot;15.0000;9
junk;12.5000;18
honk;10.0000;18
duckie;5.0000;27
whisker;25.0000;27
Kangaroo;56.6667;27
camel;35.0000;27
hedgehog;35.0000;36
chick;78.7500;36
Squonk;10.0000;9
pest;5.0000;18
ripe;16.6667;27
hug;70.0000;24
safe;19.0000;45
post;97.5000;36
pooed;31.6667;27
knicker;5.0000;18
see_saw_marjorie_;11.6667;27
master;6.6667;27
minute;208.5000;48
ladybird;95.0000;27
body;25.8333;54
sir;12.5000;36
load;34.0000;45
any;200.7143;42
Cath;16.6667;27
Morris;20.0000;9
burn;34.0000;45
pee;16.2500;36
market;31.6667;27
blanket;140.0000;27
wellies;16.6667;27
welly;27.5000;36
brolly;10.0000;27
chuck;17.5000;18
pond;52.0000;45
wiggle;35.0000;27
Sqounky;5.0000;9
baba;1056.6667;27
Dada;163.0000;45
ssh;47.5000;36
e;61.4286;63
click;43.0000;45
Mo;15.0000;27
oink;75.0000;54
oy;20.0000;36
count;47.5000;54
Warren;801.6667;27
front;62.5000;54
bash;113.7500;36
dot;13.7500;36
Annie;113.0000;45
trailer;331.6667;27
lick;97.5000;36
plum;111.6667;27
hotdog;8.3333;27
oblong;15.0000;18
cheat;11.2500;36
airport;18.7500;36
plan;6.0000;45
kid;15.3000;40
Mike;8.3333;27
cave;6.6667;27
clop;7.5000;18
spin;53.3333;27
pass;24.0000;48
farmyard;25.0000;27
dream;21.2500;36
snap;110.8333;54
police;102.5000;36
motor;27.0000;45
lift;78.5833;48
scoop;25.0000;36
thin;5.0000;9
rectangle;4.5000;8
triangle;56.7000;40
plastic;10.0000;36
hospital;36.6667;54
past;122.5000;36
halo;5.0000;9
creature;11.6667;27
ramp;40.0000;27
arch;16.6667;27
Rex;10.0000;27
rip;56.0000;45
cloud;24.0000;45
steam;50.0000;45
brew;5.0000;9
brewery;5.0000;9
hundred;4.5000;24
wobble;49.0000;45
wibble;15.0000;27
flavor;5.0000;27
aubergine;33.3333;27
cheesy;10.0000;27
cock;41.2500;36
cheep;11.6667;27
hay;88.3333;27
bail;7.5000;18
shop;512.4167;48
kind;18.0833;24
dear;998.2500;48
Lucky;179.6667;24
love;68.8000;30
carry;133.8333;48
bye;260.0000;30
corner;92.5833;48
Grandpa;218.1786;28
outside;157.0286;35
slip;25.3000;40
change;67.8333;48
read;447.1111;36
bowl;76.0833;48
dinner;277.2381;42
write;105.8333;42
football;50.8750;32
drive;378.7619;42
field;118.2857;42
well;291.4286;35
arm;147.5833;48
high;97.2778;36
long;124.8611;36
from;152.0476;42
race;75.9000;40
park;169.5833;48
men;217.2500;48
pie;118.8000;40
dust;69.6667;24
rock;55.0000;42
picture;139.0714;56
end;74.2500;48
very;347.2857;28
sea;44.7857;56
hill;41.9048;42
day;134.7143;35
call;284.1667;36
much;74.0556;36
together;111.4286;42
roll;180.0476;42
Forest;22.0000;32
people;171.8889;18
soon;75.1667;48
potato;60.0000;35
