word;relative_frequency;corpus_commonality
ding;8.5000;4
knee;37.1429;7
sunshine;8.3333;3
squirrel;9.4000;5
D;18.1429;7
snowman;15.0000;6
whistle;18.0000;4
neeow;1.0000;1
purple;32.4000;5
plant;3.3333;6
Diesel;27.6667;3
puff;28.3333;3
Thomas_the_Tank_Engine;11.0000;2
Thomas_Tank_Engine;3.6667;3
matter;12.6000;5
backwards;15.7500;4
station;40.2000;5
owl;5.5000;4
twit;2.0000;1
lollipop;10.3333;3
slow;8.5000;4
empty;22.0000;3
beak;2.5000;2
Paddington_Bear;1.5000;2
aerial;1.0000;1
person;14.6667;3
Dominic;28.6667;3
bake;6.2000;5
doughnut;5.8000;5
crane;26.2500;4
dish;3.6667;6
burger;13.6000;5
cheeseburger;1.6667;3
uhhuh;33.6667;6
large;3.0000;1
chalk;15.0000;3
puzzle;11.6667;6
o;76.8571;7
v;1.6667;6
y;6.1667;6
r;7.0000;6
x;3.8333;6
dolphin;14.3333;6
block;10.6667;6
goat;27.2000;5
beef;4.6667;3
bun;11.7500;4
skittle;1.7500;4
papa;1.0000;1
h;9.3333;6
k;5.4000;5
l;5.5000;6
f;6.0000;5
s;19.8333;6
stage;1.5000;2
darling;5.6667;3
motorbike;9.7500;4
radio;2.8333;6
Frank;4.0000;3
lamb;20.0000;4
apart;4.3333;3
tanker;3.5000;4
instead;4.8000;5
fetch;7.3333;3
radish;3.0000;1
Andy;97.3333;3
milkman;7.0000;3
rhino;6.3333;3
tiny;21.8333;6
rolly_pollies;1.6667;3
Gail;83.3333;3
Little_Miss_Magic;1.0000;1
trick;5.7500;4
Abra_ca_dabra_cottage;1.0000;1
sleeve;1.0000;4
Olwin;3.6667;3
candle;12.4000;5
Kathy;4.6667;3
Lewis;1.0000;1
poke;4.6667;3
Pass_the_parcel;1.0000;1
popper;5.0000;2
dungaree;10.0000;3
blouse;3.0000;4
blob;1.3333;3
Chris;4.3333;3
rest;13.0000;6
Fudge;5.0000;3
horsies;2.8333;6
billy;7.4000;5
beard;4.6667;3
cock_a_doodle_doo;14.3333;3
farmer;14.4000;5
courgette;1.5000;2
burglar;5.3333;3
Josie;4.0000;1
mi;1.0000;1
Bethany;6.3333;3
Kirsten;6.3333;3
Grandpa_Pete;5.0000;2
Sid;2.0000;1
mama;330.3333;3
Joan;2.5000;2
Gregory;2.0000;2
cricket;4.0000;1
tata;2.5000;2
Martin;5.3333;3
Joel;12.0000;3
